"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
78400451,"United Arab Emirates","public",6.6667,200,13,10,-0.297323076923077,-0.477921666574729,10,0.769230769230769,0
78400460,"United Arab Emirates","public",13.4375,430,12,12,-0.972966666666667,-1.46948413621026,12,1,1
78400464,"United Arab Emirates","public",6.1071,171,18,15,-0.197005555555556,-0.330697463244917,15,0.833333333333333,1
78400484,"United Arab Emirates","private",17.3684,825,19,15,-0.0925736842105263,-0.177435113344085,15,0.789473684210526,1
78400497,"United Arab Emirates","private",10.4148,1406,19,7,0.694947368421053,0.978316723410091,7,0.368421052631579,0
78400509,"United Arab Emirates","private",10.0896,676,10,10,0.53592,0.744930996726796,10,1,0
78400531,"United Arab Emirates","public",6.9756,286,10,9,0.11821,0.131907258355147,9,0.9,0
78400580,"United Arab Emirates","private",10.2101,1409,16,5,0.880225,1.25022686764215,5,0.3125,0
78400588,"United Arab Emirates","public",6.5867,247,15,11,0.0294666666666667,0.00166912674335558,11,0.733333333333333,1
78400601,"United Arab Emirates","private",1,47,10,10,-0.84727,-1.28501395234859,10,1,0
78400604,"United Arab Emirates","public",13.0833,628,11,11,-0.220018181818182,-0.364470382689663,11,1,1
78400606,"United Arab Emirates","public",6.4746,191,15,10,-0.13718,-0.24289854601328,10,0.666666666666667,0
78400608,"United Arab Emirates","private",10.0159,631,16,12,1.287975,1.84863348783568,12,0.75,1
78400612,"United Arab Emirates","public",6.2353,212,18,14,-0.559388888888889,-0.862524773396887,14,0.777777777777778,1
78400621,"United Arab Emirates","public",9.3556,421,16,16,-0.9726875,-1.46907443619439,16,1,1
78400623,"United Arab Emirates","private",1,74,19,13,0.277873684210526,0.366226830730545,13,0.68421052631579,1
78400639,"United Arab Emirates","public",14.7333,663,12,11,-1.44504166666667,-2.1622929779708,11,0.916666666666667,1
78400640,"United Arab Emirates","private",12.5882,1284,19,6,0.916152631578947,1.30295361830975,6,0.31578947368421,0
78400643,"United Arab Emirates","private",9.4694,928,10,5,0.70967,0.999923394663341,5,0.5,0
78400666,"United Arab Emirates","private",9.3333,700,13,7,0.847346153846154,1.20197446003261,7,0.538461538461538,0
78400675,"United Arab Emirates","public",14.3235,487,15,15,-0.846286666666667,-1.28357082990464,15,1,1
78400685,"United Arab Emirates","private",7.5655,1271,13,4,0.644969230769231,0.904969700882087,4,0.307692307692308,0
78400687,"United Arab Emirates","public",13.4545,444,13,12,-0.814346153846154,-1.23669550354248,12,0.923076923076923,1
78400707,"United Arab Emirates","private",18.2083,437,16,15,-1.02913125,-1.5519102759701,15,0.9375,1
78400710,"United Arab Emirates","private",10.1818,784,13,3,0.895815384615385,1.27310703775915,3,0.230769230769231,0
78400712,"United Arab Emirates","private",14.1068,1453,15,5,0.630953333333333,0.884400220039427,5,0.333333333333333,0
78400717,"United Arab Emirates","private",9.25,555,18,2,0.878633333333333,1.24789096605913,2,0.111111111111111,0
78400751,"United Arab Emirates","private",1,48,17,13,0.0926882352941176,0.0944519721282393,13,0.764705882352941,1
79200009,"Turkey","private",3.3077,43,18,0,1.10025555555556,1.11744684719225,0,0,0
79200026,"Turkey","private",5.7333,86,11,10,-0.6398,-0.306762300057028,10,0.909090909090909,0
79200060,"Turkey","private",4.3333,52,13,12,-1.25547692307692,-0.810684547135217,12,0.923076923076923,1
84000014,"United States","public",12.1739,420,19,12,-0.187584210526316,-0.796398104688283,12,0.631578947368421,1
84000099,"United States","private",12.55,251,11,2,1.21077272727273,1.80507712414853,2,0.181818181818182,0
